Date,"Install events (All devices, All events, Per interval, Daily): All countries / regions",Notes
1-Mar-24,421,
2-Mar-24,"1,710",
3-Mar-24,"3,145",
4-Mar-24,"4,104",
5-Mar-24,"4,685",
6-Mar-24,"4,500",
7-Mar-24,"1,376",
8-Mar-24,678,
9-Mar-24,"2,609",
10-Mar-24,"3,899",
11-Mar-24,"4,625",
12-Mar-24,"3,864",
13-Mar-24,"3,679",
14-Mar-24,"1,653",
15-Mar-24,775,
16-Mar-24,876,
17-Mar-24,"1,802",
18-Mar-24,"2,772",
19-Mar-24,"2,528",
20-Mar-24,"2,183",
21-Mar-24,932,
22-Mar-24,583,
23-Mar-24,"1,208",
24-Mar-24,"1,635",
25-Mar-24,"1,245",
26-Mar-24,"1,388",
27-Mar-24,"1,642",
28-Mar-24,"1,016",
29-Mar-24,685,
30-Mar-24,966,
31-Mar-24,"2,438",
1-Apr-24,"3,299",
2-Apr-24,"3,257",
3-Apr-24,"2,782",
4-Apr-24,"1,103",
5-Apr-24,488,
6-Apr-24,472,
7-Apr-24,466,
8-Apr-24,488,
9-Apr-24,392,
10-Apr-24,306,
11-Apr-24,297,
12-Apr-24,359,
13-Apr-24,402,
14-Apr-24,"1,123",
15-Apr-24,"1,970",
16-Apr-24,"2,156",
17-Apr-24,"2,396",
18-Apr-24,"1,208",
19-Apr-24,541,
20-Apr-24,"1,214",
21-Apr-24,"1,713",
22-Apr-24,"1,633",
23-Apr-24,"1,309",
24-Apr-24,"1,148",
25-Apr-24,717,
26-Apr-24,603,
27-Apr-24,748,
28-Apr-24,856,
29-Apr-24,834,
30-Apr-24,727,
1-May-24,"1,493",
2-May-24,916,
3-May-24,598,
4-May-24,"1,338",
5-May-24,"1,810",
6-May-24,"1,944",
7-May-24,"1,945",
8-May-24,"2,179",
9-May-24,"1,201",
10-May-24,644,
11-May-24,"1,393",
12-May-24,"2,021",
13-May-24,"2,096",
14-May-24,"1,942",
15-May-24,"1,966",
16-May-24,967,
17-May-24,541,
18-May-24,"1,079",
19-May-24,"1,605",
20-May-24,"1,382",
21-May-24,993,
22-May-24,978,
23-May-24,744,
24-May-24,511,
25-May-24,743,
26-May-24,835,
27-May-24,399,
28-May-24,806,
29-May-24,872,
30-May-24,722,
31-May-24,602,
1-Jun-24,"1,073",
2-Jun-24,"1,784",
3-Jun-24,"2,095",
4-Jun-24,"2,103",
5-Jun-24,"2,138",
6-Jun-24,"1,283",
7-Jun-24,756,
8-Jun-24,"1,423",
9-Jun-24,"1,871",
10-Jun-24,"1,886",
11-Jun-24,"1,664",
12-Jun-24,"1,508",Rollout of release: Started rollout of 46 (1.1.0) at 100%. Rollout of release: Started rollout of 47 (1.1.1) at 100%. Rollout of release: Started rollout of 49 (1.2.0) at 100%.
13-Jun-24,877,
14-Jun-24,677,
15-Jun-24,629,
16-Jun-24,444,
17-Jun-24,377,
18-Jun-24,432,
19-Jun-24,487,
20-Jun-24,597,
21-Jun-24,598,
22-Jun-24,986,
23-Jun-24,"1,285",
24-Jun-24,"1,138",
25-Jun-24,"1,132",
26-Jun-24,"1,098",
27-Jun-24,846,
28-Jun-24,672,
29-Jun-24,804,
30-Jun-24,933,
1-Jul-24,"1,112",
2-Jul-24,"1,558",
3-Jul-24,"1,774",
4-Jul-24,"1,138",
5-Jul-24,645,
6-Jul-24,"1,158",
7-Jul-24,"1,788",
8-Jul-24,"1,864",
9-Jul-24,"1,969",
10-Jul-24,"1,815",
11-Jul-24,"1,043",
12-Jul-24,676,
13-Jul-24,"1,095",
14-Jul-24,"1,545",
15-Jul-24,"1,528",
16-Jul-24,"1,070",
17-Jul-24,618,
18-Jul-24,202,
19-Jul-24,4,
20-Jul-24,5,
21-Jul-24,10,
22-Jul-24,8,
23-Jul-24,41,
24-Jul-24,442,
25-Jul-24,522,
26-Jul-24,513,
27-Jul-24,536,
28-Jul-24,907,
29-Jul-24,858,
30-Jul-24,850,
31-Jul-24,945,
1-Aug-24,703,
2-Aug-24,494,
3-Aug-24,740,
4-Aug-24,359,
5-Aug-24,346,
6-Aug-24,579,
7-Aug-24,902,
8-Aug-24,736,
9-Aug-24,576,
10-Aug-24,"1,035",
11-Aug-24,"1,396",
12-Aug-24,"1,367",
13-Aug-24,"1,343",
14-Aug-24,"1,249",
15-Aug-24,902,
16-Aug-24,586,
17-Aug-24,837,
18-Aug-24,"1,172",
19-Aug-24,"1,292",
20-Aug-24,"1,175",
21-Aug-24,"1,104",
22-Aug-24,785,
23-Aug-24,608,
24-Aug-24,669,
25-Aug-24,801,
26-Aug-24,724,
27-Aug-24,891,
28-Aug-24,825,
29-Aug-24,676,
30-Aug-24,608,
31-Aug-24,797,
